Date,Mean-Variance,Shrinkage,Bayesian,Robust,Equal Weight
2014-02-19 00:00:00-05:00,1629083.1398460122,1628840.9394183839,1629203.2190124358,1628974.2125043953,1546841.251927547
2014-02-20 00:00:00-05:00,1650207.340999156,1649962.0046461055,1650328.9830457547,1650097.0053955268,1555792.033229056
2014-02-21 00:00:00-05:00,1649300.5959464852,1649055.3955164605,1649422.1725328625,1649190.321693939,1553909.1421357254
2014-02-24 00:00:00-05:00,1667883.1568501266,1667635.1887525986,1668006.0979377492,1667771.63695913,1563135.6036602017
2014-02-25 00:00:00-05:00,1656243.3896293994,1655997.1558627905,1656365.4758291678,1656132.649955818,1559532.050092851
2014-02-26 00:00:00-05:00,1658751.6469513362,1658505.0392585,1658873.916781912,1658640.7391943315,1562761.300028926
2014-02-27 00:00:00-05:00,1673384.1970204487,1673135.4161565453,1673507.548599179,1673272.3132385851,1572041.8601019075
2014-02-28 00:00:00-05:00,1665379.83682235,1665132.2498875852,1665502.602860261,1665268.4909507423,1574888.6969235537
2014-03-03 00:00:00-05:00,1659953.3058441738,1659706.52487016,1660075.6714578464,1659842.3226843982,1562283.7362420913
2014-03-04 00:00:00-05:00,1693471.8571785672,1693220.0961072668,1693596.6978297345,1693358.6359538452,1586439.1333734903
2014-03-05 00:00:00-05:00,1692050.351160457,1691798.804064201,1692175.0896264333,1691937.2264155294,1587883.6128918263
2014-03-06 00:00:00-05:00,1683040.8206342154,1682790.6136211029,1683164.8952141926,1682928.298314972,1589893.8779675586
2014-03-07 00:00:00-05:00,1674295.2383061044,1674046.3293236329,1674418.6656037392,1674183.2982152067,1591737.9872579437
2014-03-10 00:00:00-04:00,1665187.554916544,1664944.4078559934,1665314.7683472852,1665079.8369971435,1589870.945057162
2014-03-11 00:00:00-04:00,1654749.0252303719,1654505.1517602566,1654873.165494006,1654640.138389576,1584345.8489236454
2014-03-12 00:00:00-04:00,1659800.4374596062,1659554.1640514552,1659923.2826742507,1659689.8616452664,1586206.062249551
2014-03-13 00:00:00-04:00,1634079.900838686,1633837.095032728,1634200.489985093,1633970.7526258766,1567034.0295795444
2014-03-14 00:00:00-04:00,1620668.0536521613,1620426.4679281944,1620786.8717079987,1620559.1673812047,1560426.8175237998
2014-03-17 00:00:00-04:00,1631261.4818182883,1631020.8549410554,1631383.6428246878,1631153.9629277252,1575285.8965584198
2014-03-18 00:00:00-04:00,1643015.6937146815,1642771.190795702,1643136.568832209,1642905.645132498,1585859.1243896857
2014-03-19 00:00:00-04:00,1628102.0417978442,1627855.527935225,1628217.5421730687,1627989.525052572,1578164.2810394338
2014-03-20 00:00:00-04:00,1638937.619574687,1638688.0388857664,1639052.4467338629,1638823.1854484475,1589738.0988496307
2014-03-21 00:00:00-04:00,1611604.6680341244,1611357.3019954101,1611715.6109640612,1611490.5458249988,1582866.6488047629
2014-03-24 00:00:00-04:00,1586955.686834355,1586709.691387874,1587062.4932446633,1586841.3323138622,1576098.5879682235
2014-03-25 00:00:00-04:00,1591445.6654674723,1591199.2903075959,1591553.0939639595,1591331.2463005178,1581171.5913462483
2014-03-26 00:00:00-04:00,1571062.1974598859,1570817.3405878767,1571166.5944229627,1570947.9011568974,1570926.4722544719
2014-03-27 00:00:00-04:00,1564553.030083237,1564313.103736653,1564660.9544483954,1564442.4172720418,1566486.7828000747
2014-03-28 00:00:00-04:00,1568965.1381313014,1568725.8390396228,1569074.6852077972,1568855.2818969914,1572595.813221775
2014-03-31 00:00:00-04:00,1583955.4818168848,1583710.8817738318,1584063.0271471275,1583842.1054240963,1585421.8727154806
2014-04-01 00:00:00-04:00,1614625.3565881192,1614376.6446806274,1614735.6154506393,1614510.2972690228,1595940.2328626555
2014-04-02 00:00:00-04:00,1617289.3073619034,1617040.7197800882,1617400.288724537,1617174.4965024074,1599231.4410545756
2014-04-03 00:00:00-04:00,1598833.139465754,1598587.8165025697,1598943.2869965683,1598719.9890467832,1595327.9206529388
2014-04-04 00:00:00-04:00,1554653.6595158903,1554411.1298549536,1554756.7336335084,1554540.3676425691,1574249.3711192342
2014-04-07 00:00:00-04:00,1532051.4934950247,1531814.8008457036,1532155.4061108816,1531941.740818501,1559158.4556597997
2014-04-08 00:00:00-04:00,1537291.4394924566,1537041.226564653,1537395.990663283,1537185.5100646282,1567143.7471229713
2014-04-09 00:00:00-04:00,1568521.871724081,1568264.5036116205,1568628.7067708308,1568414.6323482315,1584584.6282685653
2014-04-10 00:00:00-04:00,1506512.7833551457,1506250.997238419,1506615.9346628818,1506414.9323168474,1549924.9981260472
2014-04-11 00:00:00-04:00,1484315.2468350227,1483993.0580688976,1484419.3468613555,1484241.5793027638,1534059.3969933775
2014-04-14 00:00:00-04:00,1496420.0840465364,1496103.8230089985,1496524.6886192157,1496342.7654173006,1546435.1299577875
2014-04-15 00:00:00-04:00,1506528.0467179995,1506232.9796294617,1506632.4651029827,1506441.9661472857,1557320.3344608485
2014-04-16 00:00:00-04:00,1531236.6784185425,1530920.3678202066,1531343.4884949434,1531155.0574984134,1573929.4515836989
2014-04-17 00:00:00-04:00,1548484.0429996762,1548126.3863709588,1548593.5043952365,1548414.844873632,1576950.2072540026
2014-04-21 00:00:00-04:00,1565327.977456741,1565139.1285726004,1565432.0046221286,1565196.9440404682,1584114.254893132
2014-04-22 00:00:00-04:00,1585364.88558602,1585232.082883751,1585467.9979583654,1585211.4779196547,1591627.0970853737
2014-04-23 00:00:00-04:00,1583214.4111981797,1583041.1386676817,1583318.8655591572,1583075.479960405,1587464.4591984577
2014-04-24 00:00:00-04:00,1570736.565520969,1570561.2677368443,1570840.2749637414,1570599.8587435768,1587726.6984267363
2014-04-25 00:00:00-04:00,1532852.9513449182,1532635.352901837,1532956.0013336577,1532736.1104318323,1570171.997148618
2014-04-28 00:00:00-04:00,1511022.4236740468,1510777.5146434607,1511125.1697061588,1510918.0170426823,1571115.6464033297
2014-04-29 00:00:00-04:00,1530668.453441495,1530445.8665761065,1530771.5889057491,1530553.7093235794,1579508.3887352757
2014-04-30 00:00:00-04:00,1546074.0999796332,1545894.1662438195,1546176.6419323315,1545942.453642405,1584685.2078339322
2014-05-01 00:00:00-04:00,1571196.5290000492,1571049.3003084182,1571299.3700770389,1571050.1235514453,1588778.9762320349
2014-05-02 00:00:00-04:00,1574917.6083182574,1574750.1798846547,1575021.4916216552,1574777.9225263316,1586318.8037787965
2014-05-05 00:00:00-04:00,1585180.6305908188,1584980.746304644,1585286.3471080044,1585051.0479377462,1587678.3283160434
2014-05-06 00:00:00-04:00,1564587.279789175,1564391.6905394725,1564691.6023773202,1564458.8508085886,1570163.0793701278
2014-05-07 00:00:00-04:00,1566524.0683976195,1566309.3580929204,1566629.26253769,1566402.1964870929,1580004.1278301403
2014-05-08 00:00:00-04:00,1561605.9204829442,1561397.8709515117,1561714.1833768324,1561524.5275886594,1581158.882163881
2014-05-09 00:00:00-04:00,1575850.3332327039,1575642.0738942595,1575960.5417137246,1575779.5022135212,1584824.8407508235
2014-05-12 00:00:00-04:00,1608143.537586421,1607928.167941816,1608254.3899411247,1608052.2069969156,1600814.4722500774
2014-05-13 00:00:00-04:00,1609439.1910249232,1609218.8579108051,1609547.413159286,1609315.700328906,1601936.2120744523
2014-05-14 00:00:00-04:00,1603344.5762868759,1603122.499632708,1603450.924998775,1603204.2849373422,1593365.8514578692
2014-05-15 00:00:00-04:00,1583169.3848656476,1582947.601528413,1583272.9747375643,1583014.099245959,1578594.3421632373
2014-05-16 00:00:00-04:00,1586475.1169379815,1586269.4229243256,1586588.3222481406,1586430.39486114,1585453.3758160847
2014-05-19 00:00:00-04:00,1605032.6378908895,1604829.2992746576,1605149.871025658,1605019.2915300801,1591851.7190656955
2014-05-20 00:00:00-04:00,1590691.2289337215,1590467.701749511,1590794.9205277038,1590530.58572593,1580849.799338471
2014-05-21 00:00:00-04:00,1616984.0772550632,1616753.8835901984,1617087.7953734302,1616800.870827813,1593997.3104444488
2014-05-22 00:00:00-04:00,1623567.9078539559,1623339.1803582227,1623673.4131860328,1623400.05757744,1599455.1422793288
2014-05-23 00:00:00-04:00,1637980.0217410706,1637736.624974948,1638079.2863836857,1637726.0076706945,1606197.2010248348
2014-05-27 00:00:00-04:00,1653004.0803684285,1652752.300859748,1653100.763873606,1652706.5432171389,1616778.8705268803
2014-05-28 00:00:00-04:00,1654479.7852204025,1654225.7240785952,1654575.3860348454,1654168.1943018262,1614489.6710501092
2014-05-29 00:00:00-04:00,1674164.1884805216,1673908.2793972949,1674261.593654317,1673856.758595857,1623436.7612262096
2014-05-30 00:00:00-04:00,1667097.2160639118,1666843.037712866,1667194.5796694309,1666795.4436004295,1626151.1134615557
2014-06-02 00:00:00-04:00,1675012.4679108537,1674754.4627994383,1675108.8063230773,1674691.7147253172,1626839.318364595
2014-06-03 00:00:00-04:00,1669368.6266892594,1669126.854545953,1669473.364703162,1669151.870897525,1624971.6221451205
2014-06-04 00:00:00-04:00,1670905.9279405703,1670663.022131245,1671010.2452940121,1670682.8714663277,1628358.0663324262
2014-06-05 00:00:00-04:00,1679585.0655050147,1679350.6029863202,1679695.4360652682,1679425.8687723659,1638918.740901381
2014-06-06 00:00:00-04:00,1683796.9567150013,1683566.8263373503,1683910.3982115772,1683670.3245943633,1646734.5157787814
2014-06-09 00:00:00-04:00,1677551.0693208638,1677320.2564304569,1677663.2189083656,1677414.7104183687,1647182.4506998807
2014-06-10 00:00:00-04:00,1677935.7539162522,1677704.8893622756,1678047.929581378,1677799.4229595552,1647956.4851130985
2014-06-11 00:00:00-04:00,1678996.7516831928,1678765.7400791766,1679108.9980808373,1678859.666524482,1641020.170207153
2014-06-12 00:00:00-04:00,1658320.9660547553,1658092.799792212,1658431.8303884817,1658186.3934753577,1629037.3513534816
2014-06-13 00:00:00-04:00,1656730.3581505679,1656502.4104866197,1656841.1160435914,1656596.3742961423,1632739.5576799826
2014-06-16 00:00:00-04:00,1662490.1667007362,1662261.426165947,1662601.3096197757,1662355.3324969118,1633309.5555777173
2014-06-17 00:00:00-04:00,1667114.060054977,1666884.6828648287,1667225.5120991177,1666978.751461006,1640566.1204211542
2014-06-18 00:00:00-04:00,1692185.7628407755,1691952.9368769631,1692298.8913057519,1692047.6823719651,1655056.678216368
2014-06-19 00:00:00-04:00,1688184.9299835125,1687952.6531273748,1688297.7906345848,1688047.7289796136,1656508.0037779657
2014-06-20 00:00:00-04:00,1691109.1097556497,1690876.4313150682,1691222.166132237,1690971.630564536,1655903.6479227745
2014-06-23 00:00:00-04:00,1687797.7277109313,1687565.5044176884,1687910.562732719,1687660.507485719,1654751.1974577415
2014-06-24 00:00:00-04:00,1677901.9575371495,1677671.09562585,1678014.131055694,1677765.7935936109,1645807.901316366
2014-06-25 00:00:00-04:00,1691713.9403625743,1691481.1745937353,1691827.0367285563,1691576.0625349241,1653479.6485509018
2014-06-26 00:00:00-04:00,1691242.0615327,1691009.3631122976,1691355.126754799,1691104.0782950837,1650341.1290001175
2014-06-27 00:00:00-04:00,1693331.0733227683,1693098.0869402087,1693444.277960308,1693193.0097168705,1653137.5346525216
2014-06-30 00:00:00-04:00,1695865.37122964,1695632.0351668235,1695978.745125154,1695727.0804081997,1653600.3469254498
2014-07-01 00:00:00-04:00,1726653.199878003,1726415.6295739708,1726768.6324179838,1726510.496589245,1666064.013726648
2014-07-02 00:00:00-04:00,1723066.9309594221,1722829.8552121085,1723182.123817868,1722924.9177411317,1667131.8619556096
2014-07-03 00:00:00-04:00,1735509.7958081204,1735271.0094414535,1735625.82081613,1735366.352355,1676545.5968667748
2014-07-07 00:00:00-04:00,1724870.022252825,1724632.7004925883,1724985.3359004979,1724728.1432173427,1670142.996870556
2014-07-08 00:00:00-04:00,1701976.781787772,1701742.6078758887,1702090.5647653285,1701838.1616845003,1658592.8309222248
2014-07-09 00:00:00-04:00,1708978.1446435845,1708524.8455202307,1709107.7455138196,1708857.3608255885,1665870.2009521676
2014-07-10 00:00:00-04:00,1702643.960915969,1702195.1367943105,1702772.8658511632,1702523.3148709661,1659481.725673473
2014-07-11 00:00:00-04:00,1707899.4449185648,1707332.0033522898,1708037.0090206552,1707788.4138847115,1664464.828145694
2014-07-14 00:00:00-04:00,1724188.7761203924,1723881.1070680583,1724308.8984698672,1724053.9267563578,1673968.3533916608
