Date,Yield_Level,Yield_Change,Policy_Tone_Raw,Yield_Change_MA21,Policy_Tone_Smoothed,Policy_Tone_Zscore,Policy_Tone,Regime
2017-12-01,2.361999988555908,-0.05500006675720215,0.05500006675720215,-0.0006666637602306548,0.0006666637602306548,1.5742390726347597,0.5247463575449199,Dovish
2017-12-04,2.378999948501587,0.01699995994567871,-0.01699995994567871,0.0015238126118977864,-0.0015238126118977864,-0.4924905193002438,-0.1641635064334146,Neutral
2017-12-05,2.3559999465942383,-0.023000001907348633,0.023000001907348633,0.0006190481640043713,-0.0006190481640043713,0.6604837700645354,0.22016125668817846,Neutral
2017-12-06,2.3299999237060547,-0.026000022888183594,0.026000022888183594,0.0004761900220598493,-0.0004761900220598493,0.7423713354318473,0.24745711181061578,Neutral
2017-12-07,2.375999927520752,0.046000003814697266,-0.046000003814697266,0.0032857145581926617,-0.0032857145581926617,-1.3240658853516685,-0.4413552951172228,Hawkish
2017-12-08,2.382999897003174,0.006999969482421875,-0.006999969482421875,0.0027618975866408576,-0.0027618975866408576,-0.20297253867949647,-0.06765751289316549,Neutral
2017-12-11,2.384999990463257,0.002000093460083008,-0.002000093460083008,0.0025714238484700522,-0.0025714238484700522,-0.06760742723837149,-0.022535809079457163,Neutral
2017-12-12,2.4030001163482666,0.018000125885009766,-0.018000125885009766,0.00014285814194452194,-0.00014285814194452194,-0.5347196069760132,-0.1782398689920044,Neutral
2017-12-13,2.3489999771118164,-0.054000139236450195,0.054000139236450195,-0.002428577059791202,0.002428577059791202,1.5548547465355547,0.5182849155118515,Dovish
2017-12-14,2.3459999561309814,-0.003000020980834961,0.003000020980834961,-0.0016666707538423083,0.0016666707538423083,0.06679808838685225,0.022266029462284082,Neutral
2017-12-15,2.3550000190734863,0.009000062942504883,-0.009000062942504883,0.0009523800441196986,-0.0009523800441196986,-0.29009667156445795,-0.09669889052148599,Neutral
2017-12-18,2.3919999599456787,0.03699994087219238,-0.03699994087219238,0.0014761856624058314,-0.0014761856624058314,-1.10671842749624,-0.3689061424987467,Hawkish
2017-12-19,2.4630000591278076,0.0710000991821289,-0.0710000991821289,0.005190474646432059,-0.005190474646432059,-2.0795527414696635,-0.6931842471565545,Hawkish
2017-12-20,2.496999979019165,0.03399991989135742,-0.03399991989135742,0.005952380952380952,-0.005952380952380952,-0.9988568078797948,-0.33295226929326494,Hawkish
2017-12-21,2.4809999465942383,-0.016000032424926758,0.016000032424926758,0.005619049072265625,-0.005619049072265625,0.45884816552311875,0.15294938850770626,Neutral
2017-12-22,2.484999895095825,0.003999948501586914,-0.003999948501586914,0.007761898494902111,-0.007761898494902111,-0.12446246454692968,-0.04148748818230989,Neutral
2017-12-26,2.4670000076293945,-0.017999887466430664,0.017999887466430664,0.006047623498099191,-0.006047623498099191,0.5157060101286449,0.17190200337621497,Neutral
2017-12-27,2.4140000343322754,-0.05299997329711914,0.05299997329711914,0.004095236460367839,-0.004095236460367839,1.5211049745789933,0.5070349915263311,Dovish
2017-12-28,2.431999921798706,0.017999887466430664,-0.017999887466430664,0.0044761839367094495,-0.0044761839367094495,-0.5335152522510128,-0.17783841741700426,Neutral
2017-12-29,2.4049999713897705,-0.026999950408935547,0.026999950408935547,0.0013809544699532644,-0.0013809544699532644,0.7792439759556058,0.25974799198520193,Neutral
2018-01-02,2.4649999141693115,0.059999942779541016,-0.059999942779541016,0.0022857075645810083,-0.0022857075645810083,-1.740153408662962,-0.5800511362209874,Hawkish
2018-01-03,2.447000026702881,-0.017999887466430664,0.017999887466430664,0.004047620864141555,-0.004047620864141555,0.5220831088437986,0.17402770294793288,Neutral
2018-01-04,2.453000068664551,0.006000041961669922,-0.006000041961669922,0.0035238152458554224,-0.0035238152458554224,-0.17402063731175238,-0.05800687910391746,Neutral
2018-01-05,2.4760000705718994,0.023000001907348633,-0.023000001907348633,0.0057142916179838635,-0.0057142916179838635,-0.662424625165373,-0.2208082083884577,Neutral
2018-01-08,2.4800000190734863,0.003999948501586914,-0.003999948501586914,0.007142861684163411,-0.007142861684163411,-0.1106362727036226,-0.0368787575678742,Neutral
2018-01-09,2.5460000038146973,0.06599998474121094,-0.06599998474121094,0.00809524172828311,-0.00809524172828311,-1.9170340872104445,-0.6390113624034816,Hawkish
2018-01-10,2.549999952316284,0.003999948501586914,-0.003999948501586914,0.007952383586338587,-0.007952383586338587,-0.09746795562368522,-0.032489318541228406,Neutral
2018-01-11,2.5309998989105225,-0.01900005340576172,0.01900005340576172,0.006952376592726935,-0.006952376592726935,0.5760278200732084,0.19200927335773613,Neutral
2018-01-12,2.552000045776367,0.021000146865844727,-0.021000146865844727,0.007095234734671456,-0.007095234734671456,-0.5933988105452376,-0.1977996035150792,Neutral
2018-01-16,2.5439999103546143,-0.00800013542175293,0.00800013542175293,0.009285711106799897,-0.009285711106799897,0.2537137836251752,0.08457126120839174,Neutral
2018-01-17,2.578000068664551,0.03400015830993652,-0.03400015830993652,0.011047624406360444,-0.011047624406360444,-0.9709354785602293,-0.32364515952007644,Hawkish
2018-01-18,2.6110000610351562,0.03299999237060547,-0.03299999237060547,0.012190478188650948,-0.012190478188650948,-0.9493277058902362,-0.31644256863007875,Hawkish
2018-01-19,2.63700008392334,0.026000022888183594,-0.026000022888183594,0.011666672570364816,-0.011666672570364816,-0.7530573116706144,-0.2510191038902048,Neutral
2018-01-22,2.6649999618530273,0.0279998779296875,-0.0279998779296875,0.009619042986915224,-0.009619042986915224,-0.8092496271501505,-0.2697498757167168,Neutral
