,ann_mean,ann_vol,sharpe_ratio,downside_vol,sortino_ratio,skewness,kurtosis,max_drawdown,min_return,max_return
PG,0.09646779110075528,0.1708191959606545,0.5647362438292656,0.12968920286356717,0.7438382607859749,-0.04974528480638704,11.370106070274723,-0.2615516835223949,-0.09142853927602937,0.11340917206476672
PM,0.10706821089138614,0.21474717562018555,0.4985779700346479,0.17456794628488886,0.6133325915208656,-1.0973440618063597,16.3530513242183,-0.4948214185335283,-0.16931502432973553,0.09953494866078498
QCOM,0.10507843624206213,0.3342219869106335,0.3143971383012534,0.25993531277178045,0.40424840750406055,-0.19898249914237817,9.881088076693754,-0.5103208571112628,-0.1654714388829923,0.20869916925396603
RTX,0.08668013931944851,0.24847960812464873,0.34884206383634425,0.2004613631062809,0.43240322212860693,-0.41183304669945353,14.484913541406815,-0.5454487630217694,-0.15637938245967065,0.14632447942337792
SBUX,0.1554924639112509,0.27407282569660807,0.5673399524963386,0.20539095335638713,0.757056050280101,0.14188363486160138,17.9388394429127,-0.4599491870578313,-0.1767877577143836,0.21911108892999306
SCHW,0.10085840945878996,0.32765677264257687,0.3078172584236828,0.24004601412751242,0.42016281680567286,-0.20914934626411882,5.75492384572864,-0.5705926323926971,-0.13661059078835264,0.17508466115799526
SO,0.10517452048116957,0.19195194652852207,0.5479210937073864,0.14960882410269483,0.7029967724963565,0.1825890475209061,24.731301876971386,-0.4156592082496679,-0.1251755484090351,0.17204925708518493
SPG,0.09840068857059651,0.328010283377802,0.2999926940011776,0.2819251460544569,0.34903125864334694,-1.049666165364894,38.82065186792408,-0.8284597396458098,-0.31078325276868723,0.24583927972538494
T,0.07711762434166176,0.20594512194493608,0.37445715447574834,0.1614273027535491,0.47772355125946175,-0.4714526818458552,8.995154134206881,-0.4749067534026289,-0.10988291076023314,0.0955131796807062
TGT,0.09488867704101467,0.28647386371869354,0.33122978762974253,0.23824149579031684,0.39828778242950974,-1.366354567669894,36.140429218069094,-0.6491841343742805,-0.28675363325798325,0.18586192202287852
TMO,0.16313003243461735,0.24558495539308406,0.6642509194975356,0.17732441644579716,0.9199524560932724,-0.21129236242919341,3.7784651539820073,-0.3964145400481592,-0.09929947757276304,0.09957432469974895
TMUS,0.18939239005279188,0.3517667226250336,0.5384033732340141,0.2961816997995804,0.6394466308382641,-1.65757571121142,62.90016799332219,-0.780542832412026,-0.4555231654734792,0.31322877627633167
TXN,0.15787424188929267,0.2698196532344718,0.5851102393645907,0.19113311466264923,0.8259910490546936,-0.046133984961539316,4.364808748980465,-0.32727953055800507,-0.12585507655439557,0.12689191920711593
UNH,0.20063241166024415,0.25428620098178567,0.7890023559501576,0.19121022864328738,1.0492765637267991,-0.3578346836357436,10.870028429984401,-0.39614559089337986,-0.18967093517232939,0.1204365134102275
UNP,0.1511055402201413,0.2487196954726037,0.6075334723010928,0.18026285402638095,0.838251125204239,-0.24994073577959938,7.500544756641948,-0.4489069053149804,-0.13965762081514546,0.12225472110531853
UPS,0.08275926046795654,0.23317811129602276,0.35491864998808803,0.1795041457871288,0.461043727458526,-0.06404218035227145,11.678485109375082,-0.4698092939140672,-0.1284471024301416,0.1343195647973331
USB,0.07859862560681415,0.2779521944249642,0.2827774962144887,0.2160191034437871,0.36385034635266517,-0.25013347077704157,10.138042403929646,-0.595746718208714,-0.15595852460392934,0.16014359105571924
V,0.1849662776559443,0.2497528936570043,0.7405971356230449,0.1889634699755323,0.9788467457752255,-0.10934836640859703,10.104354805550308,-0.38869412026266476,-0.14557154520400706,0.1397389223665325
VZ,0.06621496454832655,0.1841741404050677,0.3595236790718563,0.13201647238775557,0.5015659284838453,-0.0391020476771999,5.183069904371686,-0.44368561535195594,-0.07793781584440539,0.08865605285474464
WFC,0.08959112988416545,0.29933846484873605,0.29929708475467165,0.22473868502351899,0.3986457866601369,-0.20977832646673644,8.341819009766336,-0.7155476207270829,-0.17277859486525426,0.13570711491098877
WMT,0.12925356614985714,0.1918679178103404,0.6736590860261643,0.14934957233385596,0.8654431621733993,-0.21090986250855037,16.164033977879672,-0.37653858523201333,-0.12076469707991161,0.11072255012091908
XOM,0.06618393034419795,0.2496605639833766,0.2650956534272859,0.1837425746950328,0.3601992105207347,-0.1614684305243108,7.3075181377561025,-0.6845158763855662,-0.13039073020242456,0.11944201435701221
